"cue","target","normed","proportion"
"absent","present","YES",0.294
"absent","gone","YES",0.133
"absent","minded","YES",0.091
"absent","missing","YES",0.077
"absent","here","YES",0.056
"absent","sick","YES",0.056
"absent","not here","NO",0.042
"absent","school","YES",0.042
"absent","tardy","YES",0.035
"absent","away","YES",0.021
"absent","lost","YES",0.021
"absent","there","YES",0.014
"abstract","art","YES",0.233
"abstract","painting","YES",0.103
"abstract","concrete","YES",0.041
"abstract","different","YES",0.041
"abstract","weird","YES",0.034
"abstract","unclear","YES",0.027
"abstract","mind","YES",0.021
"abstract","thought","YES",0.021
"abstract","wild","YES",0.021
"abstract","black","YES",0.014
"abstract","complex","YES",0.014
"abstract","draw","YES",0.014
"abstract","geometry","YES",0.014
"abstract","idea","YES",0.014
"abstract","math","YES",0.014
"abstract","picasso","NO",0.014
"abstract","think","YES",0.014
"abstract","unreal","NO",0.014
"absurd","ridiculous","YES",0.268
"absurd","crazy","YES",0.137
"absurd","stupid","YES",0.137
"absurd","weird","YES",0.052
"absurd","strange","YES",0.039
"absurd","dumb","YES",0.033
"absurd","nonsense","YES",0.026
"absurd","silly","YES",0.026
"absurd","outrageous","YES",0.02
"absurd","unbelievable","NO",0.02
"absurd","unheard of","NO",0.02
"absurd","funny","YES",0.013
"absurd","impossible","YES",0.013
"absurd","ludicrous","NO",0.013
"abundance","lots","YES",0.224
"abundance","plenty","YES",0.125
"abundance","many","YES",0.079
"abundance","money","YES",0.039
"abundance","food","YES",0.033
"abundance","much","YES",0.033
"abundance","lack","YES",0.026
"abundance","scarcity","YES",0.026
"abundance","full","YES",0.02
"abundance","excess","NO",0.013
"abundance","famine","YES",0.013
"abundance","large","YES",0.013
"abundance","little","YES",0.013
"abundance","more","YES",0.013
"abundance","myriad","NO",0.013
"abundance","overwhelming","NO",0.013
"abundance","people","YES",0.013
"abundance","plethora","NO",0.013
"abundance","trees","YES",0.013
"abundance","variety","YES",0.013
"abundance","water","YES",0.013
"abuse","child","YES",0.293
"abuse","hurt","YES",0.141
"abuse","hit","YES",0.091
"abuse","beat","YES",0.076
"abuse","neglect","YES",0.066
"abuse","drug","YES",0.045
"abuse","mistreat","YES",0.045
"abuse","alcohol","YES",0.03
"abuse","bad","YES",0.025
"abuse","pain","YES",0.025
"abuse","use","YES",0.015
"abuse","violent","YES",0.015
"abuse","fight","YES",0.01
"abuse","sexual","NO",0.01
"abuse","spouse","YES",0.01
"accelerate","speed","YES",0.386
"accelerate","fast","YES",0.271
"accelerate","car","YES",0.114
"accelerate","decelerate","NO",0.029
"accelerate","gas","YES",0.029
"accelerate","increase","YES",0.029
"accelerate","go","YES",0.014
"accelerate","pedal","YES",0.014
"accelerate","race","YES",0.014
"accelerate","slow","YES",0.014
"accelerate","stop","YES",0.014
"accept","take","YES",0.168
"accept","reject","YES",0.107
"accept","deny","YES",0.094
"accept","agree","YES",0.074
"accept","understand","YES",0.047
"accept","allow","YES",0.034
"accept","believe","YES",0.027
"accept","acknowledge","YES",0.02
"accept","unacceptable","NO",0.02
"accept","except","NO",0.013
"accept","gift","YES",0.013
"accept","give","YES",0.013
"accept","good","YES",0.013
"accept","like","YES",0.013
"accept","money","YES",0.013
"accept","receive","YES",0.013
"accept","want","YES",0.013
"accept","yes","YES",0.013
"accident","car","YES",0.358
"accident","crash","YES",0.128
"accident","mistake","YES",0.074
"accident","wreck","YES",0.054
"accident","injury","YES",0.034
"accident","bad","YES",0.027
"accident","unintentional","NO",0.027
"accident","hurt","YES",0.02
"accident","pain","YES",0.02
"accident","prone","NO",0.02
"accident","purpose","YES",0.02
"accident","victim","YES",0.02
"accident","ambulance","YES",0.014
"accident","danger","YES",0.014
"accident","fall","YES",0.014
"accident","mishap","NO",0.014
"accident","oops","NO",0.014
"accident","problem","YES",0.014
"accident","sorry","YES",0.014
"accident","tragedy","YES",0.014
"accomplish","finish","YES",0.34
"accomplish","do","YES",0.143
"accomplish","achieve","YES",0.122
"accomplish","goal","YES",0.075
"accomplish","succeed","YES",0.075
"accomplish","complete","YES",0.054
"accomplish","win","YES",0.027
"accomplish","nothing","YES",0.02
"accomplished","finished","YES",0.162
"accomplished","done","YES",0.122
"accomplished","goal","YES",0.074
"accomplished","successful","NO",0.074
"accomplished","achievement","YES",0.068
"accomplished","writer","YES",0.034
"accomplished","good","YES",0.027
"accomplished","proud","YES",0.027
"accomplished","attained","NO",0.02
"accomplished","did","NO",0.02
"accomplished","completed","NO",0.014
"accomplished","established","NO",0.014
"accomplished","graduated","NO",0.014
"accomplished","happy","YES",0.014
"accomplished","pianist","NO",0.014
"accomplished","productive","NO",0.014
"accomplished","smart","YES",0.014
"accomplished","talented","NO",0.014
"accomplished","work","YES",0.014
"account","money","YES",0.312
"account","bank","YES",0.277
"account","number","YES",0.092
"account","checking","YES",0.035
"account","book","YES",0.021
"account","charge","YES",0.021
"account","checkbook","YES",0.021
"account","for","YES",0.021
"account","list","YES",0.021
"account","ante","NO",0.014
"account","balance","YES",0.014
"account","log","YES",0.014
"account","savings","NO",0.014
"account","store","YES",0.014
"accumulate","gather","YES",0.205
"accumulate","collect","YES",0.159
"accumulate","pile","YES",0.066
"accumulate","add","YES",0.053
"accumulate","build","YES",0.04
"accumulate","gain","YES",0.04
"accumulate","acquire","YES",0.026
"accumulate","clutter","NO",0.026
"accumulate","grow","YES",0.02
"accumulate","money","YES",0.02
"accumulate","save","YES",0.02
"accumulate","store","YES",0.02
"accumulate","wealth","YES",0.02
"accumulate","addition","YES",0.013
"accumulate","amass","NO",0.013
"accumulate","lots","YES",0.013
"accumulate","numbers","YES",0.013
"accumulate","paper","YES",0.013
"accumulate","things","YES",0.013
"accumulate","together","YES",0.013
"accurate","correct","YES",0.215
"accurate","right","YES",0.168
"accurate","precise","YES",0.134
"accurate","true","YES",0.04
"accurate","exact","YES",0.027
"accurate","false","YES",0.02
"accurate","calculator","YES",0.013
"accurate","close","YES",0.013
"accurate","concise","NO",0.013
"accurate","detailed","NO",0.013
"accurate","good","YES",0.013
"accurate","inaccurate","NO",0.013
"accurate","perfect","YES",0.013
"accurate","straight","YES",0.013
"accurate","wrong","YES",0.013
"accuse","blame","YES",0.159
"accuse","guilty","YES",0.098
"accuse","crime","YES",0.038
"accuse","guilt","YES",0.038
"accuse","prosecute","YES",0.038
"accuse","victim","YES",0.038
"accuse","court","YES",0.03
"accuse","lawyer","YES",0.03
"accuse","point","YES",0.03
"accuse","defend","YES",0.023
"accuse","deny","YES",0.023
"accuse","judge","YES",0.023
"accuse","lie","YES",0.023
"accuse","tell","YES",0.023
"accuse","trial","YES",0.023
"accuse","yell","YES",0.023
"accuse","charge","YES",0.015
"accuse","claim","YES",0.015
"accuse","criminal","YES",0.015
"accuse","police","YES",0.015
"ace","cards","YES",0.303
"ace","bandage","YES",0.131
"ace","spades","YES",0.11
"ace","hole","YES",0.062
"ace","deuce","NO",0.028
"ace","poker","YES",0.028
"ace","expert","YES",0.021
"ace","hardware","NO",0.021
"ace","king","YES",0.021
"ace","tennis","YES",0.021
"ace","top","YES",0.021
"ace","jack","YES",0.014
"ace","one","YES",0.014
"ace","smart","YES",0.014
"ace","winner","YES",0.014
"ache","pain","YES",0.507
"ache","head","YES",0.188
"ache","hurt","YES",0.153
"ache","back","YES",0.042
"ache","sore","YES",0.021
"ache","belly","YES",0.014
"ache","tooth","YES",0.014
"achieve","goal","YES",0.22
"achieve","accomplish","YES",0.076
"achieve","success","YES",0.076
"achieve","win","YES",0.076
"achieve","gain","YES",0.053
"achieve","get","YES",0.045
"achieve","do","YES",0.038
"achieve","fail","YES",0.038
"achieve","succeed","YES",0.038
"achieve","strive","YES",0.03
"achieve","finish","YES",0.023
"achieve","grade","YES",0.023
"achieve","conquer","YES",0.015
"achieve","earn","YES",0.015
"achieve","great","YES",0.015
"achieve","reach","YES",0.015
"achieve","receive","YES",0.015
"achievement","goal","YES",0.221
"achievement","success","YES",0.161
"achievement","accomplish","YES",0.081
"achievement","award","YES",0.081
"achievement","grade","YES",0.04
"achievement","failure","YES",0.034
"achievement","honor","YES",0.034
"achievement","a","YES",0.02
"achievement","pride","YES",0.02
"achievement","win","YES",0.02
"achievement","work","YES",0.02
"achievement","college","YES",0.013
"achievement","degree","YES",0.013
"achievement","gpa","NO",0.013
"achievement","great","YES",0.013
"achievement","money","YES",0.013
"achievement","test","YES",0.013
"acid","rain","YES",0.177
"acid","burn","YES",0.15
"acid","base","YES",0.122
"acid","drug","YES",0.102
"acid","chemical","YES",0.082
"acid","trip","YES",0.061
"acid","lsd","NO",0.034
"acid","dangerous","YES",0.027
"acid","basic","YES",0.014
"acid","battery","YES",0.014
"acid","chemistry","YES",0.014
"acid","drop","YES",0.014
"acid","hit","YES",0.014
"acid","pain","YES",0.014
"acid","sour","YES",0.014
"acknowledge","know","YES",0.193
"acknowledge","accept","YES",0.069
"acknowledge","presence","YES",0.055
"acknowledge","greet","YES",0.041
"acknowledge","notice","YES",0.041
"acknowledge","recognition","YES",0.041
"acknowledge","understand","YES",0.041
"acknowledge","hello","YES",0.034
"acknowledge","see","YES",0.034
"acknowledge","admit","YES",0.028
"acknowledge","exist","YES",0.021
"acknowledge","ignore","YES",0.021
"acknowledge","nod","NO",0.021
"acknowledge","realize","YES",0.021
"acknowledge","respect","YES",0.021
"acknowledge","show","YES",0.021
"acknowledge","agree","YES",0.014
"acknowledge","credit","YES",0.014
"acknowledge","knowledge","YES",0.014
"acknowledge","respond","YES",0.014
"acknowledge","speak","YES",0.014
"acknowledge","yes","YES",0.014
"acorn","tree","YES",0.374
"acorn","squirrel","YES",0.324
"acorn","nut","YES",0.122
"acorn","seed","YES",0.022
"acorn","squash","YES",0.022
"acorn","chipmunk","YES",0.014
"acquire","get","YES",0.397
"acquire","gain","YES",0.055
"acquire","take","YES",0.048
"acquire","accumulate","YES",0.041
"acquire","knowledge","YES",0.041
"acquire","taste","YES",0.041
"acquire","obtain","YES",0.034
"acquire","receive","YES",0.027
"acquire","ask","YES",0.021
"acquire","buy","YES",0.021
"acquire","collect","YES",0.021
"acquire","own","YES",0.021
"acquire","have","YES",0.014
"acquire","inherit","NO",0.014
"acquire","money","YES",0.014
"acquire","steal","YES",0.014
"acquire","wealth","YES",0.014
"acre","land","YES",0.675
"acre","farm","YES",0.04
"acre","area","YES",0.032
"acre","plot","YES",0.032
"acre","green","YES",0.024
"acre","lot","YES",0.024
"acre","mile","YES",0.024
"acre","yard","YES",0.024
"acre","property","YES",0.016
"acrobat","gymnast","YES",0.201
"acrobat","circus","YES",0.175
"acrobat","flip","YES",0.097
"acrobat","gymnastics","YES",0.045
"acrobat","trapeze","NO",0.032
"acrobat","dancer","YES",0.026
"acrobat","gym","YES",0.026
"acrobat","limber","NO",0.026
"acrobat","athlete","YES",0.019
"acrobat","fly","YES",0.019
"acrobat","juggle","NO",0.019
"acrobat","jump","YES",0.019
"acrobat","rope","YES",0.019
"acrobat","air","YES",0.013
"acrobat","flexible","YES",0.013
"acrobat","high wire","NO",0.013
"acrobat","olympics","YES",0.013
"acrobat","tightrope","NO",0.013
"acrobat","u2","NO",0.013
"act","play","YES",0.182
"act","pretend","YES",0.176
"act","theater","YES",0.101
"act","do","YES",0.074
"act","drama","YES",0.061
"act","actor","YES",0.034
"act","test","YES",0.027
"act","perform","YES",0.02
"act","portray","YES",0.02
"act","sat","NO",0.02
"act","tough","YES",0.02
"act","fail","YES",0.014
"act","out","YES",0.014
"act","real","YES",0.014
"act","sing","YES",0.014
"act","smart","YES",0.014
"action","movement","YES",0.13
"action","reaction","YES",0.094
"action","movie","YES",0.087
"action","motion","YES",0.058
"action","adventure","YES",0.051
"action","run","YES",0.051
"action","move","YES",0.043
"action","verb","YES",0.029
"action","camera","YES",0.022
"action","go","YES",0.022
"action","packed","NO",0.022
"action","suspense","YES",0.022
"action","take","YES",0.022
"action","do","YES",0.014
"action","exciting","YES",0.014
"action","fast","YES",0.014
"action","fight","YES",0.014
"action","game","YES",0.014
"action","speed","YES",0.014
"action","stop","YES",0.014
"active","sports","YES",0.087
"active","busy","YES",0.08
"active","athletic","YES",0.06
"active","run","YES",0.053
"active","energy","YES",0.047
"active","inactive","NO",0.047
"active","passive","YES",0.047
"active","exercise","YES",0.04
"active","lazy","YES",0.033
"active","moving","NO",0.027
"active","hyper","YES",0.02
"active","alive","YES",0.013
"active","boy","YES",0.013
"active","fit","YES",0.013
"active","happy","YES",0.013
"active","healthy","YES",0.013
"active","involved","NO",0.013
"active","lifestyle","YES",0.013
"active","runner","YES",0.013
"active","running","YES",0.013
"active","young","YES",0.013
"activity","fun","YES",0.127
"activity","sport","YES",0.127
"activity","busy","YES",0.08
"activity","game","YES",0.053
"activity","run","YES",0.04
"activity","work","YES",0.04
"activity","energy","YES",0.033
"activity","basketball","YES",0.027
"activity","lazy","YES",0.027
"activity","movement","YES",0.027
"activity","active","YES",0.02
"activity","extracurricular","NO",0.02
"activity","play","YES",0.02
"activity","sex","YES",0.02
"activity","event","YES",0.013
"activity","exercise","YES",0.013
"activity","hobby","YES",0.013
"activity","job","YES",0.013
"activity","school","YES",0.013
"activity","tennis","YES",0.013
"activity","tired","YES",0.013
"activity","volleyball","YES",0.013
"actor","actress","YES",0.578
"actor","movie","YES",0.074
"actor","stage","YES",0.074
"actor","television","YES",0.041
"actor","play","YES",0.027
"actor","thespian","NO",0.02
"actor","comedian","YES",0.014
"actor","hollywood","NO",0.014
"actor","male","YES",0.014
"actor","man","YES",0.014
"actor","person","YES",0.014
"actor","role","NO",0.014
"actor","star","YES",0.014
"actor","theater","YES",0.014
"actress","actor","YES",0.507
"actress","movie","YES",0.066
"actress","woman","YES",0.053
"actress","star","YES",0.046
"actress","fame","YES",0.039
"actress","television","YES",0.026
"actress","girl","YES",0.02
"actress","act","YES",0.013
"actress","beauty","YES",0.013
"actress","model","YES",0.013
"actress","pretty","YES",0.013
"ad","newspaper","YES",0.252
"ad","commercial","YES",0.079
"ad","paper","YES",0.079
"ad","subtract","YES",0.079
"ad","drop","YES",0.04
"ad","magazine","YES",0.04
"ad","sell","YES",0.033
"ad","campaign","YES",0.026
"ad","classified","NO",0.026
"ad","television","YES",0.026
"ad","business","YES",0.02
"ad","column","YES",0.02
"ad","advertise","NO",0.013
"ad","advertisement","YES",0.013
"ad","gone","YES",0.013
"ad","message","YES",0.013
"ad","money","YES",0.013
"ad","news","YES",0.013
"ad","sale","YES",0.013
"add","subtract","YES",0.685
"add","plus","YES",0.094
"add","multiply","YES",0.05
"add","minus","YES",0.022
"add","increase","YES",0.017
"add","math","YES",0.017
"add","sum","YES",0.017
"add","drop","YES",0.011
"add","join","YES",0.011
"add","more","YES",0.011
"add","numbers","YES",0.011
"addict","drugs","YES",0.691
"addict","cocaine","YES",0.04
"addict","heroin","YES",0.034
"addict","hooked","YES",0.027
"addict","alcohol","YES",0.02
"addict","crazy","YES",0.02
"addict","need","YES",0.02
"addict","dependent","YES",0.013
"addict","helpless","NO",0.013
"addiction","drug","YES",0.664
"addiction","cocaine","YES",0.055
"addiction","need","YES",0.055
"addiction","problem","YES",0.041
"addiction","jane's","NO",0.034
"addiction","crack","YES",0.021
"addiction","bad","YES",0.014
"addiction","habit","YES",0.014
"addition","subtraction","YES",0.621
"addition","math","YES",0.124
"addition","plus","YES",0.078
"addition","more","YES",0.039
"addition","add","YES",0.026
"addition","also","NO",0.013
"addition","extra","YES",0.013
"addition","numbers","YES",0.013
"address","home","YES",0.273
"address","phone","YES",0.133
"address","house","YES",0.093
"address","street","YES",0.087
"address","book","YES",0.073
"address","mail","YES",0.04
"address","name","YES",0.027
"address","letter","YES",0.02
"address","number","YES",0.02
"address","residence","NO",0.02
"address","zip code","NO",0.02
"address","city","YES",0.013
"address","live","YES",0.013
"address","mine","YES",0.013
"address","new york","YES",0.013
"address","talk","YES",0.013
"adjective","noun","YES",0.333
"adjective","verb","YES",0.181
"adjective","adverb","YES",0.152
"adjective","describe","YES",0.051
"adjective","english","YES",0.043
"adjective","objective","YES",0.029
"adjective","pronoun","YES",0.022
"adjective","blue","YES",0.014
"adjective","learn","YES",0.014
"adjective","subjective","YES",0.014
"adjective","word","YES",0.014
"adjourn","leave","YES",0.201
"adjourn","end","YES",0.141
"adjourn","court","YES",0.081
"adjourn","meeting","YES",0.067
"adjourn","dismiss","YES",0.06
"adjourn","stop","YES",0.047
"adjourn","finish","YES",0.04
"adjourn","close","YES",0.027
"adjourn","over","YES",0.027
"adjourn","quit","YES",0.02
"adjourn","recess","NO",0.02
"adjourn","go","YES",0.013
"adjourn","join","YES",0.013
"adjourn","judge","YES",0.013
"adjourn","next","NO",0.013
"adjourn","start","YES",0.013
"adjustment","change","YES",0.209
"adjustment","fix","YES",0.196
"adjustment","move","YES",0.061
"adjustment","alter","YES",0.041
"adjustment","belt","YES",0.02
"adjustment","bra","YES",0.02
"adjustment","chiropractor","NO",0.02
"adjustment","correction","NO",0.02
"adjustment","arrange","NO",0.014
"adjustment","car","YES",0.014
"adjustment","compromise","NO",0.014
"adjustment","knob","YES",0.014
"adjustment","loose","YES",0.014
"adjustment","television","YES",0.014
"admire","like","YES",0.294
"admire","respect","YES",0.15
"admire","love","YES",0.089
"admire","adore","YES",0.039
"admire","beauty","YES",0.028
"admire","envy","YES",0.028
"admire","compliment","YES",0.022
"admire","want","YES",0.022
"admire","worship","YES",0.022
"admire","admonish","NO",0.017
"admire","praise","YES",0.017
"admire","beautiful","YES",0.011
"admire","cute","YES",0.011
"admire","dislike","YES",0.011
"admire","fond","YES",0.011
"admire","idol","YES",0.011
"admire","idolize","NO",0.011
"admission","ticket","YES",0.245
"admission","enter","YES",0.19
"admission","in","YES",0.068
"admission","school","YES",0.061
"admission","accept","YES",0.048
"admission","college","YES",0.048
"admission","money","YES",0.048
"admission","guilt","YES",0.034
"admission","movie","YES",0.027
"admission","pay","YES",0.027
"admission","allow","YES",0.02
"admission","deny","YES",0.014
"admission","fee","YES",0.014
"admission","open","YES",0.014
"admission","price","YES",0.014
"admission","test","YES",0.014
"admit","confess","YES",0.131
"admit","tell","YES",0.09
"admit","deny","YES",0.062
"admit","guilt","YES",0.062
"admit","lie","YES",0.055
"admit","truth","YES",0.055
"admit","wrong","YES",0.055
"admit","allow","YES",0.034
"admit","enter","YES",0.028
"admit","give","YES",0.028
"admit","say","YES",0.028
"admit","agree","YES",0.021
"admit","guilty","YES",0.021
"admit","one","YES",0.021
"admit","admission","YES",0.014
"admit","answer","YES",0.014
"admit","blame","YES",0.014
"admit","honest","YES",0.014
"adolescent","child","YES",0.262
"adolescent","teenager","YES",0.262
"adolescent","young","YES",0.131
"adolescent","adult","YES",0.076
"adolescent","youth","YES",0.062
"adolescent","puberty","YES",0.041
"adolescent","kid","YES",0.028
"adolescent","juvenile","YES",0.014
"adorable","cute","YES",0.689
"adorable","baby","YES",0.061
"adorable","pretty","YES",0.041
"adorable","puppy","YES",0.034
"adorable","lovable","NO",0.02
"adorable","cuddly","NO",0.014
"adorable","kitten","YES",0.014
"adorable","teddy bear","NO",0.014
"adore","love","YES",0.565
"adore","like","YES",0.143
"adore","admire","YES",0.091
"adore","cute","YES",0.039
"adore","care","YES",0.013
"adore","hate","YES",0.013
"adore","people","YES",0.013
"adorn","decorate","YES",0.139
"adorn","love","YES",0.133
"adorn","hairspray","YES",0.089
"adorn","admire","YES",0.033
"adorn","dress","YES",0.033
"adorn","jewelry","YES",0.028
"adorn","ornament","YES",0.028
"adorn","jewel","YES",0.022
"adorn","like","YES",0.022
"adorn","worship","YES",0.022
"adorn","praise","YES",0.017
"adorn","wear","YES",0.017
"adorn","christmas","YES",0.011
"adorn","cover","YES",0.011
"adorn","crown","YES",0.011
"adorn","fix","YES",0.011
"adorn","give","YES",0.011
"adorn","lavish","NO",0.011
"adorn","place","YES",0.011
"adorn","pretty","YES",0.011
"adorn","put on","NO",0.011
"adorn","shower","YES",0.011
"adorn","tree","YES",0.011
"adult","child","YES",0.459
"adult","parent","YES",0.115
"adult","kid","YES",0.047
"adult","mature","YES",0.041
"adult","old","YES",0.041
"adult","responsible","YES",0.041
"adult","eighteen","NO",0.034
"adult","grown","YES",0.027
"adult","mother","YES",0.02
"adult","person","YES",0.02
"adult","father","YES",0.014
"adult","youth","YES",0.014
"adultery","cheat","YES",0.333
"adultery","sex","YES",0.133
"adultery","sin","YES",0.113
"adultery","man","YES",0.04
"adultery","affair","YES",0.033
"adultery","bad","YES",0.02
"adultery","crime","YES",0.02
"adultery","fornication","NO",0.013
"adultery","marriage","YES",0.013
"adultery","scarlet","NO",0.013
"adultery","women","YES",0.013
"adults","children","YES",0.267
"adults","parents","YES",0.13
"adults","child","YES",0.068
"adults","kids","YES",0.068
"adults","people","YES",0.062
"adults","grown-ups","YES",0.048
"adults","old","YES",0.041
"adults","mature","YES",0.034
"adults","elders","YES",0.021
"adults","authority","YES",0.014
"adults","big","YES",0.014
"adults","boring","YES",0.014
"adults","males","NO",0.014
"adults","older","NO",0.014
"adults","teenagers","NO",0.014
"adults","wise","YES",0.014
"adults","x-rated","NO",0.014
"advance","forward","YES",0.23
"advance","move","YES",0.128
"advance","ahead","YES",0.074
"advance","go","YES",0.041
"advance","pay","YES",0.027
"advance","retreat","YES",0.027
"advance","behind","YES",0.02
"advance","decline","YES",0.02
"advance","further","YES",0.02
"advance","smart","YES",0.02
"advance","achieve","YES",0.014
"advance","cash","YES",0.014
"advance","charge","YES",0.014
"advance","class","YES",0.014
"advance","excel","YES",0.014
"advance","game","YES",0.014
"advance","job","YES",0.014
"advance","money","YES",0.014
"advance","pass","YES",0.014
"advance","progress","NO",0.014
"advance","promotion","NO",0.014
"adventure","island","YES",0.299
"adventure","fun","YES",0.123
"adventure","excitement","YES",0.078
"adventure","trip","YES",0.052
"adventure","journey","YES",0.045
"adventure","action","YES",0.019
"adventure","exciting","YES",0.019
"adventure","book","YES",0.013
"adventure","boring","YES",0.013
"adventure","danger","YES",0.013
"adventure","expedition","NO",0.013
"adventure","hike","YES",0.013
"adventure","indiana jones","NO",0.013
"adventure","safari","YES",0.013
"adventure","space","YES",0.013
"adventure","television","YES",0.013
"adventure","thrill","NO",0.013
"adventure","wild","YES",0.013
"adventurous","daring","YES",0.105
"adventurous","fun","YES",0.077
"adventurous","boring","YES",0.056
"adventurous","wild","YES",0.049
"adventurous","brave","YES",0.035
"adventurous","outgoing","YES",0.035
"adventurous","exciting","YES",0.028
"adventurous","risk","YES",0.028
"adventurous","spontaneous","YES",0.028
"adventurous","curious","YES",0.021
"adventurous","dangerous","YES",0.021
"adventurous","scary","YES",0.021
"adventurous","trip","YES",0.021
"adventurous","army","YES",0.014
"adventurous","courageous","YES",0.014
"adventurous","dull","YES",0.014
"adventurous","explore","NO",0.014
"adventurous","explorer","YES",0.014
"adventurous","me","YES",0.014
"adventurous","safari","YES",0.014
"adventurous","scared","YES",0.014
"adventurous","timid","YES",0.014
"adventurous","traveler","NO",0.014
"adverb","adjective","YES",0.274
"adverb","noun","YES",0.205
"adverb","verb","YES",0.158
"adverb","english","YES",0.068
"adverb","pronoun","YES",0.021
"adverb","proverb","YES",0.021
"adverb","word","YES",0.021
"adverb","grammar","YES",0.014
"adverb","modify","NO",0.014
"adverb","quickly","NO",0.014
"adverb","slowly","NO",0.014
"adverb","synonym","NO",0.014
"adversary","enemy","YES",0.197
"adversary","opponent","YES",0.132
"adversary","friend","YES",0.086
"adversary","foe","YES",0.053
"adversary","competition","YES",0.02
"adversary","against","YES",0.013
"adversary","ally","NO",0.013
"adversary","bad","YES",0.013
"adversary","different","YES",0.013
"adversary","opposite","YES",0.013
"adversary","person","YES",0.013
"adversary","vocabulary","YES",0.013
"advertisement","television","YES",0.138
"advertisement","commercial","YES",0.125
"advertisement","newspaper","YES",0.118
"advertisement","magazine","YES",0.079
"advertisement","billboard","YES",0.066
"advertisement","product","YES",0.046
"advertisement","sell","YES",0.039
"advertisement","ad","YES",0.02
"advertisement","buy","YES",0.02
"advertisement","propaganda","NO",0.02
"advertisement","sale","YES",0.02
"advertisement","sign","YES",0.02
